,Station,Code,Lat-coord,Lng-coord,Randstad
263,Hengelo Gezondheidspark,HGLG,52.261667,6.767778,0.0
264,Hengelo Oost,HGLO,52.268890380859,6.8194446563721,0.0
265,Herstal,LHS,50.66076,5.62231,0.0
266,Herzogenrath,HZ,50.870916,6.094486,0.0
267,Hillegom,HIL,52.302501678467,4.5655555725098,1.0
268,Hilversum,HVS,52.225833892822,5.1819443702698,1.0
269,Hilversum Media Park,HVSM,52.238056182861,5.1738886833191,1.0
270,Hilversum Sportpark,HVSP,52.216110229492,5.1872220039368,1.0
271,Hindeloopen,HNP,52.9464903,5.423063,0.0
272,Hoboken-Polder,FOE,51.18285,4.34831,0.0
273,Hoensbroek,HB,50.905555725098,5.9305553436279,0.0
274,Hoevelaken,HVL,52.16652,5.45718,0.0
275,Hollandsche Rading,HOR,52.17777633667,5.1791667938232,1.0
276,Holten,HON,52.283889770508,6.42027759552,0.0
277,Holzwickede,EHZW,51.504767,7.619647,0.0
278,Hoofddorp,HFD,52.293334960938,4.7005553245544,1.0
279,Hoogeveen,HGV,52.733890533447,6.4736108779907,0.0
280,Hoogezand-Sappemeer,HGZ,53.159818131676,6.7707538604736,0.0
281,Hoogkarspel,HKS,52.69055557251,5.1838889122009,0.0
282,Hoorn,HN,52.644721984863,5.0555553436279,0.0
283,Hoorn Kersenboogerd,HNK,52.653610229492,5.0855555534363,0.0
284,Hopfgarten,HOPF,47.45525,12.14921,0.0
285,Horst-Sevenum,HRT,51.426387786865,6.0422220230103,0.0
286,Houten,HTN,52.03402,5.16821,1.0
287,Houten Castellum,HTNC,52.01701,5.17949,1.0
288,Houthem-St. Gerlach,SGL,50.873332977295,5.7972221374512,0.0
289,Hurdegaryp,HDG,53.2187783,5.934543,0.0
290,IJlst,IJT,53.0146614,5.6160801,0.0
291,Innsbruck Hbf,INNSB,47.26328,11.401,0.0
292,Jenbach,JENBAC,47.38844,11.77841,0.0
293,Kaldenkirchen,KN,51.327184,6.203225,0.0
294,Kalmthout,FKTH,51.3909989,4.4668202,0.0
295,Kampen,KPN,52.559722900391,5.9216666221619,0.0
296,Kampen Zuid,KPNZ,52.5331,5.91309,0.0
297,Kapelle-Biezelinge,BZL,51.480834960938,3.9561111927033,0.0
298,Kapellen,LKP,51.31362,4.43262,0.0
299,Karlsruhe Hbf,KARLSR,48.9936223,8.400743,0.0
300,Kerkrade Centrum,KRD,50.861667633057,6.0574998855591,0.0
301,Kesteren,KTR,51.9313869,5.5833465,0.0
302,Kijkuit,GKT,51.37867,4.46722,0.0
303,Klarenbeek,KBK,52.17805480957,6.0836110115051,0.0
304,Klimmen-Ransdaal,KMR,50.866390228271,5.8905553817749,0.0
305,Koblenz Hbf,KKO,50.351085,7.588649,0.0
306,Köln Hbf,KOLN,50.9432158,6.9589214,0.0
307,Köln Messe/Deutz,KKD,50.940874,6.975001,0.0
308,Köln West,KKW,50.943611,6.934444,0.0
309,Köln-Ehrenfeld,KKERP,50.951533,6.917276,0.0
310,Köln-Mülheim,KKM,50.958056,7.013333,0.0
311,Koog aan de Zaan,KZ,52.458610534668,4.8055553436279,1.0
312,Koudum-Molkwerum,KMW,52.9028197,5.4106913,0.0
313,Københavns Lufthavn St,ODENS,55.63,12.649167,0.0
314,Krabbendijke,KBD,51.433334350586,4.1169443130493,0.0
315,Krommenie-Assendelft,KMA,52.49511,4.75417,0.0
316,Kropswolde,KW,53.1617362,6.7220882,0.0
317,Kruiningen-Yerseke,KRG,51.465000152588,4.0372223854065,0.0
318,Kufstein,KUFST,47.5831,12.16568,0.0
319,Lage Zwaluwe,ZLW,51.69111251831,4.6630554199219,0.0
320,Landgraaf,LG,50.896389007568,6.019166469574,0.0
321,Landry,LANDRY,45.57414,6.73378,0.0
322,Lansingerland-Zoetermeer,LLZM,52.042222,4.517222,1.0
323,Leer (Ostfriesl),LEER,53.23165,7.465283,0.0
324,Leerdam,LDM,51.894721984863,5.0913887023926,0.0
325,Leeuwarden,LW,53.195835113525,5.7922220230103,0.0
326,Leeuwarden Camminghaburen,LWC,53.2021808,5.8422968,0.0
327,Legden,ELGD,52.034924,7.088538,0.0
328,Leiden Centraal,LEDN,52.166110992432,4.4816665649414,1.0
329,Leiden Lammenschans,LDL,52.146945953369,4.4924998283386,1.0
330,Lelystad Centrum,LLS,52.507778167725,5.4727778434753,0.0
331,Lette (Kr Coesfeld),ELET,51.8925,7.187,0.0
332,Leuven,LEUVEN,50.88136,4.71568,0.0
333,Lichtenvoorde-Groenlo,LTV,52.01188,6.59641,0.0
334,Liège-Carré,FLJ,50.64051,5.56197,0.0
335,Liège-Guillemins,LUIK,50.62436,5.56648,0.0
336,Liège-Saint-Lambert,FLGP,50.64648,5.57072,0.0
337,Liers,LSL,50.69822,5.56848,0.0
338,Lille Europe,LILLEE,50.639444,3.074722,0.0
339,Limburg Süd,FLB,50.382498,8.096112,0.0
340,Linz Hbf,LINZ,48.29018,14.29213,0.0
341,Lochem,LC,52.166667938232,6.4263887405395,0.0
342,Lokeren,FLK,51.107222,3.985833,0.0
343,London St. Pancras Int.,STP,51.531437,-0.126136,0.0
344,Loppersum,LP,53.3347145,6.7472625,0.0
345,Lüdinghausen,ELDH,51.76184,7.43165,0.0
346,Lünen Hbf,ELUE,51.61713,7.52949,0.0
347,Lunteren,LTN,52.085277557373,5.6244444847107,0.0
348,Maarheeze,MZ,51.304986,5.629796,0.0
349,Maarn,MRN,52.064167022705,5.3699998855591,0.0
350,Maarssen,MAS,52.135276794434,5.0336112976074,1.0
351,Maastricht,MT,50.850276947021,5.7055554389954,0.0
352,Maastricht Noord,MTN,50.87087,5.71774,0.0
353,Maastricht Randwyck,MTR,50.838611602783,5.7172222137451,0.0
354,Mainz Hbf,FMZ,50.001117,8.25872,0.0
355,Malmö Central,RINGS,55.609444,13.000833,0.0
356,Mannheim Hbf,MANNHE,49.479354,8.468921,0.0
357,Mantgum,MG,53.1296368,5.7131996,0.0
358,Mariënberg,MRB,52.50944519043,6.5752778053284,0.0
359,Marne-la-Vallée-Chessy,MARNE,48.86826,2.78218,0.0
360,Marseille-St-Charles,MARS,43.30381,5.38195,0.0
361,Martenshoek,MTH,53.1607232,6.7402989,0.0
362,Mechelen,MECH,51.01758,4.48313,0.0
363,Meerssen,MES,50.882879392551,5.7509994506836,0.0
364,Melsele,LM,51.210556,4.286667,0.0
365,Meppel,MP,52.69083404541,6.1975002288818,0.0
366,Metelen Land,EMTE,52.162444,7.254423,0.0
367,Middelburg,MDB,51.494720458984,3.6172223091126,0.0
368,Milano Porta Garibaldi,DOMOD,45.484722,9.187778,0.0
369,Milmort,BLTM,50.69301,5.59983,0.0
370,Minden (Westf),MINDEN,52.290138,8.934728,0.0
371,Mönchengladbach Hbf,MCGB,51.196583,6.446111,0.0
372,Mook-Molenhoek,MMLH,51.766262,5.879133,0.0
373,Moutiers-Salins-Brides,MOUT,45.48664,6.53105,0.0
374,München Hbf,MUNCHH,48.140203335951,11.558346748352,0.0
375,München Ost,STRAUB,48.1275,11.605,0.0
376,Münster (W) Zentrum Nord,ENHF,51.984987,7.63861,0.0
377,Münster (Westf) Hbf,MUNST,51.956892,7.635895,0.0
378,Münster-Häger,ENBE,52.022327,7.562668,0.0
379,Naarden-Bussum,NDB,52.280277252197,5.1569442749023,1.0
380,Neuss Hbf,NEUSS,51.20444,6.68468,0.0
381,Niel,LNI,51.11154,4.33845,0.0
382,Nieuw Amsterdam,,52.718612670898,6.8486108779907,0.0
383,Nieuw Vennep,NVP,52.258888244629,4.6455554962158,1.0
384,Nieuwerkerk a/d IJssel,NWK,51.965278625488,4.6169443130493,1.0
385,Nieuwkerken-Waas,FNU,51.185556,4.185832,0.0
386,Nijkerk,NKK,52.222221374512,5.4938888549805,0.0
387,Nijmegen,NM,51.843612670898,5.8522224426269,0.0
388,Nijmegen Dukenburg,NMD,51.824165344238,5.7955555915833,0.0
389,Nijmegen Goffert,NMGO,51.8273,5.822722,0.0
390,Nijmegen Heyendaal,NMH,51.826946258545,5.8674998283386,0.0
391,Nijmegen Lent,NML,51.863154,5.859625,0.0
392,Nijverdal,NVD,52.366111,6.462,0.0
393,Noorderkempen,NDKP,51.358088,4.633977,0.0
394,Nordwalde,ENOW,52.077618,7.461706,0.0
395,Nunspeet,NS,52.370834350586,5.7852778434753,0.0
396,Nürnberg Hbf,NURNB,49.4449634,11.0826087,0.0
397,Nuth,NH,50.919445037842,5.8927779197693,0.0
398,Obdam,OBD,52.67805480957,4.9072222709656,0.0
399,Oberhausen Hbf,OBERH,51.47512,6.852038,0.0
400,Oberhausen-Sterkrade,OBERHS,51.512222,6.843611,0.0
401,Ochtrup,EOP,52.201703,7.182643,0.0
402,Offenburg,RO,48.476475,7.946723,0.0
403,Oisterwijk,OT,51.582221984863,5.1941666603088,0.0
404,Oldenzaal,ODZ,52.30638885498,6.9347224235535,0.0
405,Olst,OST,52.334720611572,6.1130557060242,0.0
406,Ommen,OMN,52.50944519043,6.4158334732056,0.0
407,Oosterbeek,OTB,51.994998931885,5.8400001525879,0.0
408,Opheusden,OP,51.9261615,5.6371145,0.0
409,Osnabrück Hbf,OSNH,52.272851,8.061781,0.0
410,Oss,O,51.765556335449,5.5322222709656,0.0
411,Oss West,OW,51.758056640625,5.5055556297302,0.0
412,Oudenbosch,ODB,51.587776184082,4.5333333015442,0.0
413,Overveen,OVN,52.391109466553,4.6061110496521,1.0
414,Paris-Nord,PARIS,48.87977,2.35575,0.0
415,Passau Hbf,PASS,48.573426952347,13.450870513916,0.0
416,Plochingen,TP,48.71308,9.41081,0.0
417,Praest,EPRA,51.821944,6.345556,0.0
418,Preussen,EPRN,51.58833,7.53933,0.0
419,Purmerend,PMR,52.50305557251,4.9536108970642,0.0
420,Purmerend Overwhere,PMO,52.511390686035,4.9683332443237,0.0
421,Purmerend Weidevenne,PMW,52.496590632542,4.9356293678284,0.0
422,Putten,PT,52.264999389648,5.5752778053284,0.0
423,Puurs,FRP,51.07716,4.28273,0.0
424,Raalte,RAT,52.391666412354,6.2775001525879,0.0
425,Ravenstein,RVS,51.794166564941,5.6358332633972,0.0
426,Regensburg Hbf,REGENB,49.011672,12.099617,0.0
427,Reuver,RV,51.28321916653,6.0789585113525,0.0
428,Rheden,RH,52.0101,6.0314,0.0
429,Rheine,RHEINE,52.276299,7.434255,0.0
430,Rhenen,RHN,51.958610534668,5.5783333778381,0.0
431,Rijssen,RSN,52.3122215271,6.5202779769897,0.0
432,Rijswijk,RSW,52.039722442627,4.3191666603088,1.0
433,Rilland-Bath,RB,51.422779083252,4.1611108779907,0.0
434,Roermond,RM,51.193054199219,5.9941668510437,0.0
435,Roodeschool,RD,53.421262,6.7587,0.0
436,Roosendaal,RSD,51.540279388428,4.4583334922791,0.0
437,Rosendahl-Holtwick,EHW,51.99946726041,7.1215009689331,0.0
438,Rosenheim,ROSENH,47.85,12.119167,0.0
439,Rosmalen,RS,51.714721679688,5.3680553436279,0.0
440,Rotterdam Alexander,RTA,51.951946258545,4.5536112785339,1.0
441,Rotterdam Blaak,RTB,51.920276641846,4.4888887405395,1.0
