DataOwnerCode,OperatingDay,LinePlanningNumber,JourneyNumber,ReinforcementNumber,TimingLinkOrder,UserStopCodeBegin,UserStopCodeEnd,Occupancy,VehicleType,TotalNumberOfCoaches
ARR,2024-10-07,189,18951,0,4,MT,AHBF,2,Flirt,3.0
ARR,2024-10-07,189,18955,0,4,MT,AHBF,1,Flirt,3.0
ARR,2024-10-07,189,18959,0,4,MT,AHBF,1,Flirt,3.0
ARR,2024-10-07,201,20104,0,1,GN,NSCH,2,GTW,6.0
ARR,2024-10-07,201,20106,0,1,GN,NSCH,2,GTW,8.0
ARR,2024-10-07,201,20110,0,1,GN,NSCH,2,GTW,3.0
ARR,2024-10-07,201,20114,0,1,GN,NSCH,2,GTW,3.0
ARR,2024-10-07,201,20118,0,1,GN,NSCH,2,GTW,3.0
ARR,2024-10-07,201,20122,0,1,GN,NSCH,2,GTW,3.0
ARR,2024-10-07,201,20126,0,1,GN,NSCH,2,GTW,3.0
ARR,2024-10-07,201,20130,0,1,GN,NSCH,2,GTW,4.0
ARR,2024-10-07,201,20134,0,1,GN,NSCH,2,GTW,3.0
ARR,2024-10-07,201,20138,0,1,GN,NSCH,2,GTW,4.0
ARR,2024-10-07,201,20142,0,1,GN,NSCH,2,GTW,5.0
ARR,2024-10-07,201,20146,0,1,GN,NSCH,2,GTW,5.0
ARR,2024-10-07,201,20150,0,1,GN,NSCH,2,GTW,6.0
ARR,2024-10-07,201,20154,0,1,GN,NSCH,2,GTW,5.0
ARR,2024-10-07,201,20158,0,1,GN,NSCH,2,GTW,3.0
ARR,2024-10-07,201,20160,0,1,GN,NSCH,2,GTW,3.0
ARR,2024-10-07,201,20164,0,1,GN,NSCH,2,GTW,2.0
ARR,2024-10-07,201,20168,0,1,GN,NSCH,2,GTW,2.0
ARR,2024-10-07,304,30462,0,1,WW,APD,2,GTW,2.0
ARR,2024-10-07,304,30466,0,1,WW,APD,2,GTW,2.0
ARR,2024-10-07,304,30467,0,1,APD,WW,2,GTW,2.0
ARR,2024-10-07,304,30470,0,1,WW,APD,2,GTW,2.0
ARR,2024-10-07,304,30471,0,1,APD,WW,2,GTW,2.0
ARR,2024-10-07,304,30474,0,1,WW,APD,2,GTW,2.0
ARR,2024-10-07,304,30475,0,1,APD,WW,2,GTW,2.0
ARR,2024-10-07,304,30479,0,1,APD,WW,2,GTW,2.0
ARR,2024-10-07,308,30808,0,1,WW,ZP,2,GTW,3.0
ARR,2024-10-07,308,30810,0,1,WW,ZP,2,GTW,3.0
ARR,2024-10-07,308,30811,0,1,ZP,WW,1,GTW,3.0
ARR,2024-10-07,308,30812,0,1,WW,ZP,2,GTW,3.0
ARR,2024-10-07,308,30813,0,1,ZP,WW,1,GTW,3.0
ARR,2024-10-07,308,30814,0,1,WW,ZP,2,GTW,5.0
ARR,2024-10-07,308,30815,0,1,ZP,WW,2,GTW,3.0
ARR,2024-10-07,308,30816,0,1,WW,ZP,2,GTW,4.0
ARR,2024-10-07,308,30817,0,1,ZP,WW,1,GTW,2.0
ARR,2024-10-07,308,30818,0,1,WW,ZP,1,GTW,3.0
ARR,2024-10-07,308,30819,0,1,ZP,WW,2,GTW,2.0
ARR,2024-10-07,308,30820,0,1,WW,ZP,2,GTW,2.0
ARR,2024-10-07,308,30821,0,1,ZP,WW,1,GTW,3.0
ARR,2024-10-07,308,30822,0,1,WW,ZP,2,GTW,2.0
ARR,2024-10-07,308,30823,0,1,ZP,WW,1,GTW,2.0
ARR,2024-10-07,308,30824,0,1,WW,ZP,1,GTW,3.0
ARR,2024-10-07,308,30825,0,1,ZP,WW,2,GTW,2.0
ARR,2024-10-07,308,30826,0,1,WW,ZP,1,GTW,2.0
ARR,2024-10-07,308,30827,0,1,ZP,WW,2,GTW,2.0
ARR,2024-10-07,308,30828,0,1,WW,ZP,1,GTW,2.0
ARR,2024-10-07,308,30829,0,1,ZP,WW,2,GTW,2.0
ARR,2024-10-07,308,30830,0,1,WW,ZP,1,GTW,2.0
ARR,2024-10-07,308,30831,0,1,ZP,WW,1,GTW,2.0
ARR,2024-10-07,308,30832,0,1,WW,ZP,2,GTW,2.0
ARR,2024-10-07,308,30833,0,1,ZP,WW,1,GTW,2.0
ARR,2024-10-07,308,30834,0,1,WW,ZP,2,GTW,2.0
ARR,2024-10-07,308,30835,0,1,ZP,WW,2,GTW,2.0
ARR,2024-10-07,308,30836,0,1,WW,ZP,1,GTW,2.0
ARR,2024-10-07,308,30837,0,1,ZP,WW,1,GTW,2.0
ARR,2024-10-07,308,30838,0,1,WW,ZP,1,GTW,2.0
ARR,2024-10-07,308,30839,0,1,ZP,WW,3,GTW,2.0
ARR,2024-10-07,308,30840,0,1,WW,ZP,1,GTW,2.0
ARR,2024-10-07,308,30841,0,1,ZP,WW,2,GTW,2.0
ARR,2024-10-07,308,30842,0,1,WW,ZP,1,GTW,2.0
ARR,2024-10-07,308,30843,0,1,ZP,WW,3,GTW,2.0
ARR,2024-10-07,308,30844,0,1,WW,ZP,2,GTW,4.0
ARR,2024-10-07,308,30845,0,1,ZP,WW,4,GTW,2.0
ARR,2024-10-07,308,30846,0,1,WW,ZP,2,GTW,2.0
ARR,2024-10-07,308,30847,0,1,ZP,WW,1,GTW,4.0
ARR,2024-10-07,308,30848,0,1,WW,ZP,2,GTW,2.0
ARR,2024-10-07,308,30849,0,1,ZP,WW,1,GTW,3.0
ARR,2024-10-07,308,30850,0,1,WW,ZP,1,GTW,4.0
ARR,2024-10-07,308,30851,0,1,ZP,WW,1,GTW,4.0
