,uic,Station,Code,Lat-coord,Lng-coord,Type,Type code,Randstad
180,8400219,Eijsden,EDN,50.771945953369,5.710000038147,stoptreinstation,0,0.0
181,8400206,Eindhoven Centraal,EHV,51.443332672119,5.4813890457153,megastation,1,0.0
182,8400196,Eindhoven Strijp-S,EHS,51.451110839844,5.4558334350586,stoptreinstation,0,0.0
184,8400207,Elst,EST,51.916942596435,5.8550000190735,knooppuntStoptreinstation,0,0.0
185,8400208,Emmen,EMN,52.790000915527,6.8994445800781,sneltreinstation,1,0.0
186,8400407,Emmen Zuid,EMNZ,52.748866374691,6.8747806549072,sneltreinstation,1,0.0
189,8400210,Enkhuizen,EKZ,52.699165344238,5.286388874054,stoptreinstation,0,0.0
191,8400212,Enschede,ES,52.222499847412,6.8899998664856,knooppuntIntercitystation,1,0.0
192,8400217,Enschede De Eschmarke,ESE,52.221389770508,6.9511113166809,stoptreinstation,0,0.0
193,8400221,Enschede Kennispark,ESK,52.23749923706,6.8388891220093,stoptreinstation,0,0.0
195,8400216,Ermelo,EML,52.301666259766,5.6147222518921,stoptreinstation,0,0.0
197,8400218,Etten-Leur,ETN,51.57500076294,4.6358332633972,intercitystation,1,0.0
198,8400338,Eygelshoven,EGH,50.890556335449,6.0450000762939,stoptreinstation,0,0.0
199,8400234,Eygelshoven Markt,EGHM,50.896049819644,6.0602474212646,stoptreinstation,0,0.0
200,8400638,Feanwâlden,FWD,53.2351834,5.9886615,stoptreinstation,0,0.0
202,8400232,Franeker,FN,53.1824488,5.5483094,stoptreinstation,0,0.0
207,8400241,Gaanderen,GDR,51.93074,6.3486,stoptreinstation,0,0.0
208,8400244,Geldermalsen,GDM,51.88301,5.27127,knooppuntStoptreinstation,0,0.0
209,8400245,Geldrop,GP,51.419723510742,5.5505557060242,knooppuntStoptreinstation,0,0.0
210,8400246,Geleen Oost,GLN,50.966945648193,5.8430557250977,stoptreinstation,0,0.0
211,8400248,Geleen-Lutterade,LUT,50.975555419922,5.8247222900391,stoptreinstation,0,0.0
213,8400251,Gilze-Rijen,GZ,51.583610534668,4.9261112213135,stoptreinstation,0,0.0
214,8400262,Glanerbrug,GBR,52.218612670898,6.9744443893433,stoptreinstation,0,0.0
216,8400253,Goes,GS,51.498054504395,3.8905556201935,stoptreinstation,0,0.0
217,8400254,Goor,GO,52.230278015137,6.5844445228577,stoptreinstation,0,0.0
219,8400256,Gorinchem,GR,51.833889007568,4.9683332443237,knooppuntStoptreinstation,0,1.0
221,8400258,Gouda,GD,52.017501831055,4.7044444084167,knooppuntIntercitystation,1,1.0
222,8400257,Gouda Goverwelle,GDG,52.014999389648,4.7408332824707,stoptreinstation,0,1.0
223,8400259,Gramsbergen,GBG,52.60916519165,6.6758332252502,stoptreinstation,0,0.0
224,8400267,Grijpskerk,GK,53.255740325573,6.3097786903381,stoptreinstation,0,0.0
226,8400263,Groningen,GN,53.210556030273,6.5647220611572,knooppuntIntercitystation,1,0.0
227,8400238,Groningen Europapark,GERP,53.20480027,6.5854178,stoptreinstation,0,0.0
228,8400264,Groningen Noord,GNN,53.2301469,6.5563172,stoptreinstation,0,0.0
229,8400266,Grou-Jirnsum,GW,53.088890075684,5.8225002288818,stoptreinstation,0,0.0
231,8400285,Haarlem,HLM,52.38777923584,4.6383333206177,knooppuntIntercitystation,1,1.0
232,8400270,Haarlem Spaarnwoude,HLMS,52.382778167725,4.6730556488037,stoptreinstation,0,1.0
234,8400400,Halfweg-Zwanenburg,HWZB,52.385935,4.747165,stoptreinstation,0,1.0
237,8400293,Hardenberg,HDB,52.572776794434,6.6286110877991,sneltreinstation,1,0.0
238,8400294,Harderwijk,HD,52.337501525879,5.619722366333,knooppuntStoptreinstation,0,1.0
239,8400438,Hardinxveld Blauwe Zoom,HBZM,51.82944,4.81556,stoptreinstation,0,1.0
240,8400295,Hardinxveld-Giessendam,GND,51.830554962158,4.8358335494995,stoptreinstation,0,1.0
241,8400297,Haren,HRN,53.176109313965,6.6172223091125,stoptreinstation,0,0.0
242,8400296,Harlingen,HLG,53.1704205,5.4251932,stoptreinstation,0,0.0
243,8400298,Harlingen Haven,HLGH,53.174917,5.4112885,stoptreinstation,0,0.0
245,8400317,Heemskerk,HK,52.495277404785,4.6869444847107,stoptreinstation,0,0.0
246,8400302,Heemstede-Aerdenhout,HAD,52.35916519165,4.6066665649414,intercitystation,1,1.0
247,8400305,Heerenveen,HR,52.961387634277,5.9141664505005,intercitystation,1,0.0
248,8400301,Heerenveen IJsstadion,HRY,52.935276031494,5.9438886642456,facultatiefStation,2,0.0
249,8400306,Heerhugowaard,HWD,52.669723510742,4.8227777481079,knooppuntStoptreinstation,0,0.0
250,8400307,Heerlen,HRL,50.89083480835,5.9749999046326,knooppuntIntercitystation,1,0.0
251,8400404,Heerlen Woonboulevard,HRLW,50.896667,5.952222,stoptreinstation,0,0.0
252,8400308,Heeze,HZE,51.384998321533,5.5694446563721,stoptreinstation,0,0.0
254,8400309,Heiloo,HLO,52.599445343018,4.7005553245544,stoptreinstation,0,0.0
255,8400310,Heino,HNO,52.427223205566,6.2211112976074,stoptreinstation,0,0.0
256,8400313,Helmond,HM,51.475555419922,5.6619443893433,knooppuntIntercitystation,1,0.0
257,8400300,Helmond 't Hout,HMH,51.46794,5.63085,stoptreinstation,0,0.0
258,8400242,Helmond Brandevoort,HMBV,51.462223052979,5.6072220802307,stoptreinstation,0,0.0
259,8400299,Helmond Brouwhuis,HMBH,51.47068,5.70177,stoptreinstation,0,0.0
261,8400315,Hemmen-Dodewaard,HMN,51.9222129,5.6737254,stoptreinstation,0,0.0
262,8400316,Hengelo,HGL,52.261665344238,6.7938890457153,knooppuntIntercitystation,1,0.0
263,8400433,Hengelo Gezondheidspark,HGLG,52.261667,6.767778,stoptreinstation,0,0.0
264,8400312,Hengelo Oost,HGLO,52.268890380859,6.8194446563721,stoptreinstation,0,0.0
267,8400329,Hillegom,HIL,52.302501678467,4.5655555725098,stoptreinstation,0,1.0
268,8400322,Hilversum,HVS,52.225833892822,5.1819443702698,knooppuntIntercitystation,1,1.0
269,8400324,Hilversum Media Park,HVSM,52.238056182861,5.1738886833191,stoptreinstation,0,1.0
270,8400570,Hilversum Sportpark,HVSP,52.216110229492,5.1872220039368,stoptreinstation,0,1.0
271,8400323,Hindeloopen,HNP,52.9464903,5.423063,stoptreinstation,0,0.0
273,8400326,Hoensbroek,HB,50.905555725098,5.9305553436279,stoptreinstation,0,0.0
274,8400490,Hoevelaken,HVL,52.16652,5.45718,stoptreinstation,0,0.0
275,8400327,Hollandsche Rading,HOR,52.17777633667,5.1791667938232,stoptreinstation,0,1.0
276,8400328,Holten,HON,52.283889770508,6.42027759552,stoptreinstation,0,0.0
278,8400332,Hoofddorp,HFD,52.293334960938,4.7005553245544,stoptreinstation,0,1.0
279,8400330,Hoogeveen,HGV,52.733890533447,6.4736108779907,stoptreinstation,0,0.0
280,8400331,Hoogezand-Sappemeer,HGZ,53.159818131676,6.7707538604736,knooppuntStoptreinstation,0,0.0
281,8400334,Hoogkarspel,HKS,52.69055557251,5.1838889122009,stoptreinstation,0,0.0
282,8400337,Hoorn,HN,52.644721984863,5.0555553436279,knooppuntIntercitystation,1,0.0
283,8400336,Hoorn Kersenboogerd,HNK,52.653610229492,5.0855555534363,stoptreinstation,0,0.0
285,8400339,Horst-Sevenum,HRT,51.426387786865,6.0422220230103,stoptreinstation,0,0.0
286,8400340,Houten,HTN,52.03402,5.16821,knooppuntStoptreinstation,0,1.0
287,8400335,Houten Castellum,HTNC,52.01701,5.17949,stoptreinstation,0,1.0
288,8400341,Houthem-St. Gerlach,SGL,50.873332977295,5.7972221374512,stoptreinstation,0,0.0
289,8400292,Hurdegaryp,HDG,53.2187783,5.934543,stoptreinstation,0,0.0
290,8400722,IJlst,IJT,53.0146614,5.6160801,stoptreinstation,0,0.0
295,8400353,Kampen,KPN,52.559722900391,5.9216666221619,stoptreinstation,0,0.0
296,8400360,Kampen Zuid,KPNZ,52.5331,5.91309,stoptreinstation,0,0.0
297,8400354,Kapelle-Biezelinge,BZL,51.480834960938,3.9561111927033,stoptreinstation,0,0.0
300,8400355,Kerkrade Centrum,KRD,50.861667633057,6.0574998855591,knooppuntStoptreinstation,0,0.0
301,8400359,Kesteren,KTR,51.9313869,5.5833465,stoptreinstation,0,0.0
303,8400361,Klarenbeek,KBK,52.17805480957,6.0836110115051,stoptreinstation,0,0.0
304,8400362,Klimmen-Ransdaal,KMR,50.866390228271,5.8905553817749,stoptreinstation,0,0.0
311,8400363,Koog aan de Zaan,KZ,52.458610534668,4.8055553436279,stoptreinstation,0,1.0
312,8400366,Koudum-Molkwerum,KMW,52.9028197,5.4106913,stoptreinstation,0,0.0
314,8400367,Krabbendijke,KBD,51.433334350586,4.1169443130493,stoptreinstation,0,0.0
315,8400368,Krommenie-Assendelft,KMA,52.49511,4.75417,stoptreinstation,0,0.0
316,8400369,Kropswolde,KW,53.1617362,6.7220882,stoptreinstation,0,0.0
317,8400370,Kruiningen-Yerseke,KRG,51.465000152588,4.0372223854065,stoptreinstation,0,0.0
319,8400382,Lage Zwaluwe,ZLW,51.69111251831,4.6630554199219,knooppuntStoptreinstation,0,0.0
320,8400548,Landgraaf,LG,50.896389007568,6.019166469574,knooppuntStoptreinstation,0,0.0
322,8400135,Lansingerland-Zoetermeer,LLZM,52.042222,4.517222,stoptreinstation,0,1.0
324,8400386,Leerdam,LDM,51.894721984863,5.0913887023926,stoptreinstation,0,0.0
325,8400387,Leeuwarden,LW,53.195835113525,5.7922220230103,knooppuntIntercitystation,1,0.0
326,8400389,Leeuwarden Camminghaburen,LWC,53.2021808,5.8422968,stoptreinstation,0,0.0
328,8400390,Leiden Centraal,LEDN,52.166110992432,4.4816665649414,knooppuntIntercitystation,1,1.0
329,8400384,Leiden Lammenschans,LDL,52.146945953369,4.4924998283386,stoptreinstation,0,1.0
330,8400394,Lelystad Centrum,LLS,52.507778167725,5.4727778434753,knooppuntIntercitystation,1,0.0
333,8400395,Lichtenvoorde-Groenlo,LTV,52.01188,6.59641,stoptreinstation,0,0.0
341,8400399,Lochem,LC,52.166667938232,6.4263887405395,stoptreinstation,0,0.0
344,8400403,Loppersum,LP,53.3347145,6.7472625,stoptreinstation,0,0.0
347,8400405,Lunteren,LTN,52.085277557373,5.6244444847107,stoptreinstation,0,0.0
348,8400432,Maarheeze,MZ,51.304986,5.629796,stoptreinstation,0,0.0
349,8400417,Maarn,MRN,52.064167022705,5.3699998855591,knooppuntStoptreinstation,0,0.0
350,8400419,Maarssen,MAS,52.135276794434,5.0336112976074,stoptreinstation,0,1.0
351,8400424,Maastricht,MT,50.850276947021,5.7055554389954,knooppuntIntercitystation,1,0.0
352,8400449,Maastricht Noord,MTN,50.87087,5.71774,stoptreinstation,0,0.0
353,8400426,Maastricht Randwyck,MTR,50.838611602783,5.7172222137451,knooppuntStoptreinstation,0,0.0
357,8400427,Mantgum,MG,53.1296368,5.7131996,stoptreinstation,0,0.0
358,8400428,Mariënberg,MRB,52.50944519043,6.5752778053284,knooppuntSneltreinstation,1,0.0
361,8400430,Martenshoek,MTH,53.1607232,6.7402989,stoptreinstation,0,0.0
363,8400434,Meerssen,MES,50.882879392551,5.7509994506836,sneltreinstation,1,0.0
365,8400435,Meppel,MP,52.69083404541,6.1975002288818,knooppuntStoptreinstation,0,0.0
367,8400436,Middelburg,MDB,51.494720458984,3.6172223091126,stoptreinstation,0,0.0
372,8400446,Mook-Molenhoek,MMLH,51.766262,5.879133,stoptreinstation,0,0.0
379,8400452,Naarden-Bussum,NDB,52.280277252197,5.1569442749023,knooppuntStoptreinstation,0,1.0
382,8400454,Nieuw Amsterdam,,52.718612670898,6.8486108779907,sneltreinstation,1,0.0
383,8400460,Nieuw Vennep,NVP,52.258888244629,4.6455554962158,stoptreinstation,0,1.0
384,8400455,Nieuwerkerk a/d IJssel,NWK,51.965278625488,4.6169443130493,stoptreinstation,0,1.0
386,8400469,Nijkerk,NKK,52.222221374512,5.4938888549805,stoptreinstation,0,0.0
